OBJECTID_1,ProjectID,ProjName,dtmBoardAp,Type,Function_,Program,PrimPurp,PrimGrante,County,WCBFunding,TotalCost,TotalAcres,Comment,OBJECTID,Shape_Leng,Shape__Area,Shape__Length,GlobalID
2769,2010231,Brush Creek Conservation Easement (Miller Trust),2015/09/03 00:00:00+00,Acquisition,Conservation Easement,California Forest Conservation Program,Forest Habitat,Mendocino Land Trust Inc.,Mendocino,1676000,2231000,2018, ,2807,27691.185563,13631157.3164063,35634.992566704,60efecea-3525-4771-8ff3-aab56aa4ba17
2770,2015008,Western Riverside MSHCP (2012) - McCormick,2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Western Riverside County RCA,Riverside,68000,215000,4.63, ,2808,606.997939597,26249.17578125,729.292961598762,964b9df4-b4f1-45d1-ba90-a9d2da57223d
2771,2014138,Western Riverside MSHCP (2012) - Dyer/Wynn,2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Riverside County Regional Conservation Authority,Riverside,128200,411000,20.19, ,2809,1193.53440148,114373.90234375,1435.17797657351,eb514e81-7cd9-423b-b46e-cd02e31a0743
2772,2014027,"Lucky 5 Ranch, Phase II",2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,Anza-Borrego Foundation,San Diego,510000,2810000,1129.5, ,2810,9804.71252644,7443809.94921875,11711.7573934276,ae479d33-8dd6-4ace-808f-da94ec4f165b
2773,2012217,"Santa Cruz Mountains Linkages, Coyote Ridge (NCCP)",2015/09/03 00:00:00+00,Acquisition,Fee Title,Natural Heritage Preservation Tax Credit Program,Tax Credit - PRC 37015(a),Santa Clara County Open Space Authority,Santa Clara,2710000,8617500,1831, ,2811,15814.5541859,11520286.7539063,19873.4790078335,0d31b980-9782-4485-bc6b-93b6b8623055
2774,2014054,"Southern Sierra Nevada Mountains,  Cummings",2015/09/03 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Wildlife Corridor/Habitat Link,The Nature Conservancy,Kern,210000,530000,1019, ,2812,16016.4764438,6913728.12890625,19628.1934213299,b8271b64-0d71-4082-9596-1db08f2eba16
2775,2013013,Shay Meadows Conservation Area Expansion 2 (Whitcher),2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,San Bernardino Mountains Land Trust,San Bernardino,56650,181600,4.78, ,2813,682.255972814,28438.12109375,827.436238074788,6b609db6-b914-4f96-9ead-e41e9a0d800a
2776,2015037,Shay Meadows Conservation Area Expansion 3 (Smith),2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,San Bernardino Mountains Land Trust,San Bernardino,28925,115700,3, ,2814,504.369292162,17492.12890625,611.583633557342,d7ccca68-8ea9-436b-8703-56518333769c
2777,2015050,"Yolo County HCP/NCCP Development, Phase III",2015/09/03 00:00:00+00,Development,"Other (Plan, Study, Etc.)",Miscellaneous Projects Program,Other,Yolo Habitat Conservancy,Yolo,462500,462500,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2815,10111.6176436,13372939.6835938,12963.6571004721,b4a011d5-57a7-4dc5-be14-b185aa8020d3
2778,2015017,"Malibu Creek Rindge Dam Removal, Planning",2015/09/03 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Salmonid/Steelhead Habitat,California Department of Parks and Recreation,Los Angeles,610000,6602082,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2816,186.79369156,4047.3984375,225.769288258713,68cffc29-0bde-418d-9cdd-ccf090acaf91
2779,2015040,"San Joaquin River Parkway, Spano River Ranch, Habitat Enhancement",2015/09/03 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,"San Joaquin River Parkway and Conservation Trust, Inc.",Fresno,550000,550000,51,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2818,4119.46556049,309005.7890625,5154.04526136518,2f0ca8d3-5ea4-4e32-ac55-842e373a4e6e
2780,2015042,"San Joaquin River Parkway, San Joaquin Hatchery Public Access and Trail, Augmentation II",2015/09/03 00:00:00+00,Development,Public Access,Public Access Program,Public Facility,Department of Water  Resources,Fresno,850000,850000,4,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2819,2635.59786185,333945.62890625,3302.50529643509,755ca059-0d55-41ed-830b-c2be031f836b
2781,2014150,McCune and Cronin Habitat Enhancement,2015/09/03 00:00:00+00,Development,Restoration/Enhancement,Ecosystem Restoration on Agricultural Lands Program,Agricultural Lands,Solano County Resource Conservation District,Solano,375000,752480.5,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2820,929.359406536,58996.234375,1185.52974314568,99f112af-3928-4e13-a967-1a75cd94fd21
2782,2015041,"Carmel River, San Clemente Dam Removal, Augmentation",2015/09/03 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Fisheries Habitat,State Coastal Conservancy,Monterey,1000000,1000000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2822,367.09701717,16582.47265625,456.746304001886,ad8e919b-6264-4674-ace5-0d8d31ea289b
2783,2015059,"Puma Canyon, Expansion 6 (R. Saylor)",2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat,Transition Habitat Conservancy,San Bernardino,66000,66000,15, ,2823,997.630325678,88201.2265625,1210.99075700365,90edc573-c551-42f7-b5de-b6efbdcf268d
2784,2014109,"Upper Butte Basin Wildlife Area, Expansion 7",2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands, ,Butte,2640000,2640000,255, ,2824,5452.61517104,1675747.15625,7060.3836704582,d85a697d-e4a8-4041-b06f-4ded7ec5c214
2785,2006061,Cienega Springs,2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat, ,Ventura,8545000,8545000,266, ,2825,7289.2217557,1684001.02734375,8837.53351569082,a92534f4-e810-4ec2-af76-40965ae25d6d
2786,2014087,Summers Meadow,2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link, ,Mono,1345000,1345000,2036, ,2826,20508.2924321,13342114.484375,26109.1639605528,73e73a82-d105-4151-b9af-6e6fedf920fa
2787,2013149,Hollenbeck Canyon Wildlife Area  Expansion 5,2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Fish and Wildlife,San Diego,390551,1594000,391, ,2827,8627.12244839,2185162.0078125,10268.4088740434,7d7b4c4a-d36d-43ca-b3ee-000c0ca8f75c
2788,2013047,Ten Mile River - Parker Ranch - Forest Conservation Program,2015/09/03 00:00:00+00,Acquisition,Conservation Easement,California Forest Conservation Program,Forest Habitat,The Nature Conservancy,Mendocino,3470000,5915000,2540, ,2828,19096.9660677,16560781.4765625,24792.4918430631,fa0b938d-8a30-476f-bc95-8502c339921b
2789,2015012,Buena Vista Lagoon ER (MacHutchin),2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,Buena Vista Audobon Society (BVAS),San Diego,1360000,1560000,3.56, ,2829,627.945370256,20682.94140625,750.876877788558,41260e7b-33f7-462c-84d7-ffab397d5167
2790,2014142,Pine Creek Linkages (Rose Ranch),2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,Northern California Regional Land Trust,Tehama,1547000,2092000,0, ,2830,29789.1867897,38867454.8671875,38869.0510824759,4e9ee15a-add5-4c06-885e-419a5f7fa5ed
2791,2015035,"Imperial Wildlife Area Wetland Restoration, Phase II",2015/11/19 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Interior Wetlands,California Waterfowl Association,Imperial,750000,750000,150,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2831,33292.830744,30402390.5351563,39896.7573179831,82a3c267-4ead-4151-8896-9ecdf4a027e5
2792,2015023,Western Riverside MSHCP (2012) - Caramello,2015/11/19 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Western Riverside County RCA,Riverside,50000,155000,10, ,2832,907.723222326,60200.4296875,1089.05354580438,c2ad1d91-9a9d-4fef-a14b-c75b71a2dda6
2793,2015022,Western Riverside MSHCP (2014/2015) - Bautista,2015/11/19 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat, ,Riverside,846200,3837000,2838, ,2833,23639.9055413,16372655.5195313,28456.716407345,c04fb194-aa9f-48e3-952e-2b2d2e1c1908
2794,2015077,"Thousand Palms Conservation Area, Expansion 1",2015/11/19 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Coachella Valley Conservation Commission,Riverside,43500,115000,20, ,2834,1209.77279558,118411.74609375,1459.63519171198,2c77b709-437f-411b-a44e-aed796d9f4dc
2795,2015076,"Willow Hole Conservation Area, Expansion 2",2015/11/19 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Coachella Valley Conservation Commission,Riverside,31250,80000,29.3, ,2835,1409.63909777,177175.21484375,1701.10556944617,e507beec-0b90-4cae-a23f-3ea818703eb7
2796,2014158,"Cameron Meadows, Phase II",2015/11/19 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Other, ,El Dorado,10000,509000,22.16, ,2836,1290.78148689,148727.8203125,1655.07564580235,1acdb249-0489-4271-aa8d-72c37b1b0b57
2797,2015071,Cullinan Ranch Tidal Restoration Enhancement,2015/11/19 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,"Ducks Unlimited, Inc.",Napa,399000,399000,1575,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2837,17079.765131,10412696.3398438,21731.424880627,9f655cf1-d593-4756-900d-8c490d07d23b
2798,2015043,San Diego County Multiple Species Conservation Plan (Skyline 244),2015/11/19 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link,Endangered Habitat Conservancy,San Diego,10000,1345000,244, ,2839,7395.97045952,1368887.40625,8793.78454348228,d7c0a664-401b-4c68-825c-0f5b77213115
2799,2013118,East Contra Costa County HCP/NCCP (Nunn),2015/11/19 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Grasslands/Upland Habitat,East Contra Costa County Habitat Conservancy,Contra Costa,2742400,6082000,646, ,2840,9408.17547828,4169477.26171875,11941.9836250928,d93cc64e-bb48-4f07-a637-6538ecf46f41
2800,2014153,Big Sky Natural Area CAPP - Alamos Canyon,2015/11/19 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link,The Nature Conservancy,Ventura,1852126,2902126,0, ,2841,10101.1752712,2551411.56640625,12239.6220426632,2a994dc8-1f1d-40b1-bc29-9e0aba8a4893
2801,2015030,Middle Owens Valley Perennial Pepperweed Removal,2015/11/19 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,Inyo and Mono Counties Agricultural Commissioner,Inyo,730000,2377976,14,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2842,75353.3514787,56728537.6640625,94915.5798238972,b43171e8-941e-4b85-96d9-10dd1590ece3
2802,2015057,"Feather River Wildlife Area, Riparian Habitat Restoration, Abbott Lake Unit, Augmentation",2015/09/03 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,River Partners,Sutter,620000,620000,150,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2843,8772.36586107,2977397.6328125,11304.0068494385,39be3467-c320-4ad5-ab1c-bd924fe56ee2
2803,2011180,"Blue-Ridge Berryessa Conceptual, Smittle Creek",2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,Napa County Park & Open Space District,Napa,1420000,1420000,443, ,2844,12007.2578891,3837780.41015625,15369.0897327023,34c332c7-229d-449e-ba76-8d111537a41a
2804,1997013,Tamarack Meadow Riparian Restoration,1997/02/13 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,U.S. Forest Service (USDA),Fresno,15151,37887.04,100,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2845,2211.77550298,75987.609375,2777.61599106635,1ae07e87-96a1-4cef-ae24-aa7e6baacb38
2805,2014183,Mouth of Cottonwood Creek Expansion  (Manner),2015/09/03 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat, ,Shasta,350000,350000,12.7, ,2846,979.909507718,100200.04296875,1287.71668933342,827e436d-7673-40e8-9342-4d7b0cb4e63b
2806,2015024,Willow Bend,2016/02/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,River Partners,Colusa,430000,430000,25, ,2847,1252.55118352,149550.0234375,1620.90842398892,6eaad511-2b6a-416a-a129-35172d789151
2807,2014200,"Tijuana Estuary Tidal Restoration, Planning and Design",2016/02/24 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,Southwest Wetlands Interpretive Association,San Diego,895000,895000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2848,382.815506544,16446.28515625,454.862598362389,2c4ed1f6-9204-4433-a5ac-2cf92dc56a8a
2808,2015095,Climate Resiliency Planning for the South Coast Ecoregion,2016/02/24 00:00:00+00,Development,"Other (Plan, Study, Etc.)",Habitat Enhancement and Restoration Program,Other,San Diego State University Foundation,Multiple,250000,430000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2849,10111.6176432,11844365.375,12200.3329640892,39f06eab-981a-4b8b-8e8e-f3b6d252bcee
2809,2015099,Ventura River Oak Woodland Restoration,2016/02/24 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Oak Woodland/Oak Savannah Habitat,Ojai Valley Land Conservancy,Ventura,200000,340998,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2850,2274.49804527,120672.17578125,2764.23672077162,32b950ed-96dd-4ecf-adf7-47ef27ebf001
2810,2015054,Santa Clara River Riparian Restoration,2016/02/24 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Riparian Habitat,The Nature Conservancy,Ventura,1010000,2820040,238,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2851,8200.1023212,2270828.9140625,9940.63888822068,397b30b3-fda0-4e00-b6a6-0926dc726c44
2811,2014105,Shaver Lake Boat Ramp Extension and Shade Pavilions,2016/02/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Fresno,Fresno,409000,610000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2852,505.388297798,32029.4296875,634.678995467504,7149de5d-1297-41ee-a794-2fab7708d00f
2812,2015064,Shelter Island Boat Launch Replacement,2016/02/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,Port of San Diego,San Diego,3350000,9350000,5,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2853,382.815510773,16502.53125,455.639317192254,7b7073b0-f106-4215-89c6-3935d8fab9be
2813,2016002,"Upper Mission Creek/Big Morongo Canyon Conservation Area, Expansion 7",2016/02/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat, ,Riverside,66250,180000,39, ,2854,1979.8430072,231818.4921875,2387.09429605433,657fc072-67d2-47ad-abc5-fb226a44fae5
2814,2015046,"Sycuan Peak Ecological Reserve, Expansion 6",2016/02/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link, ,San Diego,25530,45000,2, ,2855,589.448561423,11072.74609375,702.210202317333,89b4e794-8622-4b56-bdce-4d83c78efdae
2815,2015044,"Hollenbeck Canyon Wildlife Area, Expansion 6",2016/02/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link, ,San Diego,282720,750000,185, ,2856,5168.92505547,1074147.46875,6148.49170050477,012abe50-9c68-4408-bc1f-00f2560dec30
2816,2015036,"Santa Cruz Sandhills, Zayante (Bias)",2016/02/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat, ,Santa Cruz,10000,365000,11, ,2857,1251.01747143,62526.5390625,1569.47520269102,9f7fa781-da4b-4614-8a74-f7893e51ee12
2817,2014037,San Diego Mountain Ranch,2016/02/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat, ,San Diego,10000,2465000,982, ,2858,18986.0846624,5601237.96484375,22611.4055769337,2a80fb47-8ce2-4f41-b169-2020d69603e0
2818,2015090,"Eel River Peninsula, Phase II (Summer Camp)",2016/02/24 00:00:00+00,Acquisition,Conservation Easement,California Forest Conservation Program,Wildlife Corridor/Habitat Link,California Department of Forestry and Fire Protection,Mendocino,1581190,4723572,7012, ,2859,32027.2460776,48004360.2890625,41556.4045010455,bdd5e664-e878-438f-bfb3-3f84966a17c3
2819,2012176,"Eel River Peninsula, Phase II (Foster Mountain)",2016/02/24 00:00:00+00,Acquisition,Conservation Easement,California Forest Conservation Program,Wildlife Corridor/Habitat Link,California Department of Forestry and Fire Protection,Mendocino,867971,2583912,3829, ,2860,28457.2680264,26702429.0039063,36884.649264785,9dc2c504-8b69-4062-a4cc-472df4631a4b
2820,2015091,"Eel River Peninsula, Phase II (Garcia Creek)",2016/02/24 00:00:00+00,Acquisition,Conservation Easement,California Forest Conservation Program,Wildlife Corridor/Habitat Link,California Department of Forestry and Fire Protection,Mendocino,1080839,3222516,4779, ,2861,39174.4008164,32010559.828125,50826.4311875001,f236e8af-533f-4ca0-9a00-cd3aa50f1f2c
2821,2013005,Epperson Place Ranch Conservation Easement,2016/02/24 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Wildlife Corridor/Habitat Link,California Rangeland Trust,Colusa,407000,816000,1547, ,2862,10423.5959426,9087112.81640625,13447.7063290571,8fe78107-834b-4998-82ca-f10164d42fd6
2822,2013004,Keegan Ranch Conservation Easement,2016/02/24 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Wildlife Corridor/Habitat Link,California Rangeland Trust,Colusa,332500,1297750,2507, ,2863,28040.3331802,16227721.1210938,36187.8351656632,6df65584-dbe1-4786-ad83-60eabccadc1d
2823,2010149,"Big Creek Reserve Facility Improvements, Phase II",2016/02/24 00:00:00+00,Development,Infrastructure,"The University of California, Natural Reserve System Program",Other,"The Regents of the University of California, Santa Cruz",Monterey,2558270,5116540,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2864,382.815494287,17868.0234375,474.110532564961,11936d03-633c-40fa-8e11-c752a8d9f837
2824,2013108,"Sheep Ranch Conservation Easement, Expansion 4",2016/06/02 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Calaveras,270000,270000,160, ,2865,3982.9405817,991705.6953125,5076.99680753653,050173de-6414-43a1-8724-038d1e9b5de9
2825,2015079,Silver Spur Ranch,2016/06/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link,Tuleyome,Lake,440000,510000,1280, ,2866,11279.9610546,8540159.94140625,14536.0318155975,0cc481a0-79e1-4a8c-9c73-96b8d70f2dc8
2826,2015083,"Hollenbeck Canyon Wildlife Area, Expansion 8",2016/06/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat, ,San Diego,265000,265000,113, ,2867,3123.43626824,649575.66796875,3717.12857431997,168c4657-9916-49e7-b130-4a0c49c5d474
2827,2015053,"Hollenbeck Canyon Wildlife Area, Expansion 7",2016/06/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat, ,San Diego,104240,240000,27, ,2868,1373.35224721,156987.27734375,1636.12037490454,5edf8db7-474c-4f4a-8382-313f3c1331be
2828,2015098,Live Oak Canyon,2016/06/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Sage Scrub,Western Riverside County RCA,Riverside,978500,1681000,149.55, ,2869,3114.83702545,882721.3203125,3761.80227452771,c932b158-1bbc-4151-80b0-b6b214065d45
2829,2015101,"Live Oak Canyon, Expansion I",2016/06/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Sage Scrub,City of Redlands,San Bernardino,89000,440000,12.32, ,2870,1595.93385171,69532.0078125,1925.19885610197,05418cf4-e92e-44f1-bb45-9ac9a6f2f4e5
2830,2015089,"Puma Canyon, Expansion 7",2016/06/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat,Transition Habitat Conservancy,San Bernardino,105000,203000,19.92, ,2871,1225.39555303,124776.390625,1487.9420579809,eb84e6b1-2d71-4363-96f0-3bc9ad028237
2831,2016013,Western Riverside MSHCP (2012) - Riverpark,2016/06/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Western Riverside County RCA,Riverside,818500,2712000,108.26, ,2872,3887.53069601,670434.62109375,4686.29885512368,bb3a1f79-ca7f-47cf-8cb8-6e3c3998e1c9
2832,2016020,Kern Wildlife Refuge Recirculation Project,2016/06/02 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,California Waterfowl Association,Kern,1308000,1457600,2500,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2873,29325.4642883,68966555.9726563,36176.7306712303,3d7db3bd-674d-436a-957e-cb37e3cc98f6
2833,2016019,Badger Almond Wetland Enhancement,2016/06/02 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,California Waterfowl Association,Kern,722000,1325721,327,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2874,8041.93012251,5638557.3203125,9894.74641779041,85a78772-83a6-4dea-bd79-e1a664a4d836
2834,2016022,"Alameda County Stock Pond Enhancement, Phase II",2016/06/02 00:00:00+00,Development,Restoration/Enhancement,Ecosystem Restoration on Agricultural Lands Program,Agricultural Lands,Alameda County Resource Conservation District,Alameda,85800,85800,20,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2875,30334.8529237,39086990.5195313,38387.5738769968,2c11d9cd-fb08-48b7-beb5-13385dfe030c
2835,2016011,"Placer County Oest Ranch Oak Woodlands Conservation Easement, Expansion 1",2016/06/02 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Oak Woodland/Oak Savannah Habitat,Placer Land Trust,Placer,495000,575000,77.4, ,2876,2635.06617648,534390.44140625,3392.85796912576,6ac12750-20dd-4f3c-a6f4-5612dbee66c4
2836,2015093,East Contra Costa County HCP/NCCP (Hanson Hills),2016/06/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Grasslands/Upland Habitat, ,Contra Costa,10000,740000,76, ,2877,2351.43604264,502193.1328125,2982.65360904782,eb451dcd-ff0f-4d3f-94e9-007c8d253c3d
2837,2016059,Chollas Creek Riparian Restoration - Planning,2016/06/02 00:00:00+00,Development,"Other (Plan, Study, Etc.)",California Riparian Habitat Conservation Program,Riparian Habitat,Urban Corps of San Diego County,San Diego,970000,1083000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2878,852.746010515,46675.55859375,1015.16011687853,5d46f459-e0f4-4d50-9ea0-ccbaa7cacdfd
2838,2016048,"Santa Cruz Integrated Watershed Restoration, Watsonville Slough",2016/06/02 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Grasslands/Upland Habitat,Resource Conservation District of Santa Cruz County,Santa Cruz,340000,456583,10,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2879,1932.82992215,293368.421875,2418.71665102433,3b846d25-545b-41fb-820d-ec10773dfdb1
2839,2016056,"San Joaquin River Parkway, Milburn Pond Habitat Restoration and Public Access Improvements Planning and Design Project",2016/06/02 00:00:00+00,Development,"Other (Plan, Study, Etc.)",Habitat Enhancement and Restoration Program,Salmonid/Steelhead Habitat,California Department of Water Resources,Fresno,438000,628000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2880,8251.72076619,3207917.84375,10321.1594680862,0f31a2e7-7570-49cc-a268-c99da6b33e1b
2840,2016055,"San Joaquin River Parkway, Ball Ranch Habitat Restoration Planning Project",2016/06/02 00:00:00+00,Development,"Other (Plan, Study, Etc.)",Habitat Enhancement and Restoration Program,Riparian Habitat,River Partners,Fresno,28045,32179,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2881,5481.67015369,2412241.38671875,6864.03905866899,ab6b9725-cb39-4db3-a073-1e0c61706d3a
2841,2015056,"Sycuan Peak Ecological Reserve, Expansion 7",2016/06/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link, ,San Diego,26210,47000,10, ,2882,999.580706527,58607.921875,1192.67210875022,86fa0f3c-3af6-4ceb-a077-dfad89915b63
2842,2016014,"Bufford Ranch Conservation Easement, Expansion 1",2016/06/02 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Rangeland,California Rangeland Trust,Kern,214000,214000,270, ,2883,6110.36426594,1651429.12109375,7505.45274902028,8e632523-7fb4-489a-95a5-1113c0404867
2843,2015025,Red Hill Bay Shallow Water Habitat,2016/06/02 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Interior Wetlands,Department of Water  Resources,Imperial,1850000,3074952,600,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2884,5156.56535775,2377874.1875,6166.70320239405,3ff2caac-43f8-4349-9e3d-e647747ce1ef
